,Fold1,Fold2,Fold3,Fold4,Fold5,Fold6,Fold7,Fold8,Fold9,Fold10
Return_5Day,6.11429972156111,8.480735271768935,11.125970971908828,14.121899369027233,15.326113077055197,15.188361619380885,19.85253622585151,22.03304451034637,22.530398930539377,22.116871505320887
MovingAvg_5Day,1.7146807510653161,2.8107050882390467,3.805345778091578,5.202354165550787,5.492838291465887,5.9989537516084965,7.639550168387359,8.078262817580253,9.223959332623053,9.4842054216424
ExpMovingAvg_5Day,1.4943884510212229,2.637164726809715,3.596780123851204,4.365389312122716,4.9650763544632355,6.051796363797621,7.701455834961962,8.582133965392131,9.128296449285699,8.861509955459042
Volatility_5Day,5.535363493312616,8.136757237756683,10.582378489787516,13.692190078552812,15.213789244779036,15.855426787325996,18.98524267874018,20.943682220444316,20.286524807248497,21.584134707285557
Return_10Day,5.576803239651781,7.558119605833781,9.982615779190382,12.693976489143097,14.20099645452865,14.261138852627482,17.28949380706763,18.37258501825272,19.553368041000795,19.194254131638445
MovingAvg_10Day,1.525786253354454,2.5494498275074875,3.000937027252803,3.9024565202125814,4.728556291025598,4.840136718528811,6.195982229808578,6.664380982198054,7.263185549294576,7.261140891700052
ExpMovingAvg_10Day,0.9109948436162085,1.5884862134989817,2.1095057472703047,2.8414833531423938,3.356052317263675,3.712467200384708,3.984095456660725,4.118852193350904,5.220389427006012,4.716655138123315
Volatility_10Day,4.093722344732669,6.513335988653125,8.528262519495911,11.655930659457226,12.064405739554786,11.757049472944345,15.16778383446217,15.683529360438115,15.465817361953668,15.609960032932577
Return_20Day,5.2705863981136645,7.372457089812087,10.13685636883747,12.959576916167862,14.095278379725642,14.193940540091717,17.831383445954998,18.797816816339036,19.715475903532933,20.28218140959507
MovingAvg_20Day,1.4487686121028673,2.244586334149062,3.1181035063782474,3.7067321352951694,4.580427951019374,5.1809229711361695,6.562751776946243,6.896487931953743,7.458264294051332,8.45428606850328
ExpMovingAvg_20Day,0.7308383347226481,1.3826744509351556,1.6631914050958585,2.5911267426999984,2.5863026223960333,3.2243596647458617,4.257068981853081,4.148323490575422,4.08397101535229,4.526830021874048
Volatility_20Day,3.6466667980748753,5.271830895260791,7.903167994125397,10.298608358047204,10.915107702254318,10.573935068037827,13.637641037654248,14.160371052363189,13.774923637509346,14.255552994087338
Return_30Day,5.207635048762313,7.8118791115120985,10.254165885453403,12.998948276712326,14.1389368132659,14.696979789383477,17.735470596700907,18.394682333339006,19.026815010409337,20.319347383250715
MovingAvg_30Day,1.1396419544580567,2.1196626126766205,2.6702367857287754,3.634012220718432,4.655064038161072,4.831963554534013,6.570813065525726,6.511107066529803,7.107905601937091,6.932325153960846
ExpMovingAvg_30Day,0.9345726166829991,1.4206416089145932,1.726199324373738,2.6581420216534752,2.9579159941640683,3.491656862592208,3.86517634872871,4.842444876383524,5.192569063365227,5.265015918703284
Volatility_30Day,3.770917282468872,4.937482550281857,7.334831683496304,9.60641497830511,9.955313771482906,10.070061237114714,12.8518054150627,13.9916921127151,13.20466960594058,13.391113008750835
Return_50Day,5.384380968735059,8.568137681570079,11.654150625894545,14.989614417005214,17.09093617973849,16.70967789310089,21.943757507644477,23.32942451548297,23.13165210740408,23.496935303875944
MovingAvg_50Day,1.7071366484778991,3.546193503345421,4.506467241095379,5.91105382576643,6.494516825900064,7.276124095238629,9.507255276708747,10.127961117279483,10.377764972072328,10.598952252563322
ExpMovingAvg_50Day,1.3145195742836222,2.1683436663006432,2.935849000532471,4.073675066436408,4.557968388151494,4.74856680117955,6.9642430161329685,7.222527722013183,7.545292312512174,8.124777212331537
Volatility_50Day,4.486212523945142,6.858215508487774,9.232299405295635,11.889773205155507,14.06037389584526,14.582350415468682,17.02122976294777,18.766004572695238,18.62900511897169,19.1295630770328
Open_lag1,3.4699004076719575,5.248567558955983,7.302766815802897,8.917145192535827,8.613045108155347,9.901351959255408,12.760112628529896,15.237893852463458,14.784860719868448,16.099945007503266
High_lag1,3.375567299019167,5.543969501115498,7.526907501807727,8.726751635840628,9.391665186180035,9.907910954701947,12.035199513455154,12.808257220254745,14.580484489619266,14.123000902152853
Low_lag1,2.546919003209041,4.603550480904232,5.622539678690373,7.37645002885256,7.932745743528358,8.954677412679303,11.223372759253834,12.06977939477656,12.853438830032246,13.286607807240216
