,avg_gain
Return_50Day,16.629866720045175
Return_5Day,15.689023120276033
Volatility_5Day,15.08154897452332
Return_20Day,14.065555326817048
Return_30Day,14.058486024878949
Return_10Day,13.868335141893477
Volatility_50Day,13.46550274858455
Volatility_10Day,11.65397973146246
Volatility_20Day,10.443780553741453
Open_lag1,10.233558925074249
Volatility_30Day,9.911430164561898
High_lag1,9.801971420414702
Low_lag1,8.647008113916673
MovingAvg_50Day,7.00534257584477
MovingAvg_5Day,5.9450855566254175
ExpMovingAvg_5Day,5.738399153716455
ExpMovingAvg_50Day,4.965576275987405
MovingAvg_20Day,4.965133158153549
MovingAvg_10Day,4.793201229088299
MovingAvg_30Day,4.617273205423044
ExpMovingAvg_10Day,3.255898189031723
ExpMovingAvg_30Day,3.2354334635561828
ExpMovingAvg_20Day,2.9194686730250394
