,Fold1,Fold2,Fold3,Fold4,Fold5,Fold6,Fold7,Fold8,Fold9,Fold10
Return_5Day,2374,2180,2118,2133,2046,2084,2118,2198,2260,2076
MovingAvg_5Day,1298,1317,1236,1326,1328,1305,1412,1374,1313,1363
ExpMovingAvg_5Day,941,1087,1075,1158,1225,1189,1333,1358,1360,1348
Volatility_5Day,2431,2418,2374,2364,2293,2353,2349,2335,2426,2378
Return_10Day,2853,2363,2345,2366,2347,2396,2417,2319,2371,2362
MovingAvg_10Day,1168,1112,1200,1211,1302,1260,1234,1255,1277,1239
ExpMovingAvg_10Day,532,637,682,732,741,778,699,771,718,779
Volatility_10Day,3018,2957,2835,2682,2803,2801,2771,2891,2807,2745
Return_20Day,3103,2763,2748,2719,2762,2779,2770,2746,2547,2634
MovingAvg_20Day,1427,1395,1510,1414,1484,1455,1474,1493,1586,1526
ExpMovingAvg_20Day,628,663,725,720,711,782,751,781,751,707
Volatility_20Day,3266,3091,3079,2966,2925,2893,3048,2860,2843,2996
Return_30Day,3444,3220,3054,2981,2971,2966,2955,2905,2941,2890
MovingAvg_30Day,1320,1409,1541,1630,1654,1633,1672,1733,1753,1631
ExpMovingAvg_30Day,695,748,794,871,847,918,935,904,908,954
Volatility_30Day,3235,3149,3154,3168,3181,3067,3022,3140,3053,3052
Return_50Day,3986,4156,3920,4058,3956,3942,3938,3740,3924,3718
MovingAvg_50Day,2057,2332,2508,2384,2544,2588,2549,2471,2527,2599
ExpMovingAvg_50Day,1509,1618,1715,1858,1964,2007,2058,2017,2005,2134
Volatility_50Day,4159,4303,4353,4368,4306,4253,4127,4026,3900,4200
Open_lag1,2160,2331,2259,2149,2075,2044,1930,2006,2068,1987
High_lag1,2022,2202,2112,2134,2035,2038,2006,2193,2155,2176
Low_lag1,1874,2049,2163,2108,2000,1969,1932,1984,2007,2006
